order_week,product_category_name_english,avg_price,planned_price,price_for_revenue,units_base,units_cal,revenue_base_price,revenue_cal_price
2018-10-08,fashion_childrens_clothes,52.49,52.49,52.49,0.817149,0.817149,42.89215101,42.89215101
2018-10-15,fashion_childrens_clothes,52.49,52.49,52.49,0.9738031,0.9738031,51.114924719,51.114924719
2018-10-22,fashion_childrens_clothes,52.49,52.49,52.49,0.9436462,0.9436462,49.531989038,49.531989038
2018-10-29,fashion_childrens_clothes,52.49,52.49,52.49,0.87198687,0.87198687,45.7705908063,45.7705908063
2018-09-10,fashion_male_clothing,106.91,106.91,106.91,1.2261447,1.2261447,131.087129877,131.087129877
2018-09-17,fashion_male_clothing,106.91,106.91,106.91,1.6240956,1.6240956,173.632060596,173.632060596
2018-09-24,fashion_male_clothing,106.91,106.91,106.91,1.2832192,1.2832192,137.188964672,137.188964672
2018-10-01,fashion_male_clothing,106.91,106.91,106.91,1.1792296,1.1792296,126.071436536,126.071436536
2018-10-08,fashion_male_clothing,106.91,106.91,106.91,1.6721975,1.6721975,178.774634725,178.774634725
2018-10-15,fashion_male_clothing,106.91,106.91,106.91,1.427141,1.427141,152.57564431,152.57564431
2018-10-22,fashion_male_clothing,106.91,106.91,106.91,1.2543932,1.2543932,134.107177012,134.107177012
2018-10-29,fashion_male_clothing,106.91,106.91,106.91,1.0982969,1.0982969,117.418921579,117.418921579
2018-09-10,fashion_shoes,173.0,173.0,173.0,1.8486654,1.8486654,319.8191142,319.8191142
2018-09-17,fashion_shoes,173.0,173.0,173.0,2.4883137,2.4883137,430.4782701,430.4782701
