product_category_name_english,units_s,revenue_s,price_s,units0,revenue0,price0,scenario,delta_units,delta_revenue,pct_dQ,pct_dP,elasticity
party_supplies,13.32058,1084.686427,81.429375,10.096491,913.5010611,90.47708333,-0.1,3.2240887,171.1853657,0.31932765,-0.1,-3.193276525
perfumery,267.76038,26964.61266,100.7042716,266.63928,29835.23769,111.8936351,-0.1,1.1210938,-2870.625032,0.004204534,-0.1,-0.042045335
pet_shop,213.30792,24284.46809,113.8470019,218.35555,27621.24978,126.4966688,-0.1,-5.0476227,-3336.781687,-0.02311653,-0.1,0.231165309
security_and_services,5.263449,670.9871281,127.4805,5.2633886,745.532645,141.645,-0.1,6.06E-05,-74.54551695,1.15E-05,-0.1,-0.000115056
signaling_and_security,38.548122,2960.11121,76.790025,45.213852,3857.747659,85.32225,-0.1,-6.6657295,-897.6364491,-0.14742671,-0.1,1.474267095
small_appliances,74.08736,17799.84443,240.2548313,73.26456,19557.95896,266.9498125,-0.1,0.8227997,-1758.114526,0.011230528,-0.1,-0.112305284
small_appliances_home_oven_and_coffee,29.34222,5863.968872,199.8474911,27.93364,6202.742132,222.0527679,-0.1,1.4085808,-338.7732595,0.050425965,-0.1,-0.504259653
sports_leisure,477.31216,45579.10321,95.49118067,444.0881,47118.32923,106.1013119,-0.1,33.22406,-1539.226015,0.07481412,-0.1,-0.748141184
stationery,220.87566,17887.34342,80.98376831,216.83475,19511.21728,89.98196479,-0.1,4.040909,-1623.87386,0.018635891,-0.1,-0.186358914
tablets_printing_image,6.9988275,401.2427781,57.33,6.8222346,434.5763498,63.7,-0.1,0.17659283,-33.33357163,0.025884895,-0.1,-0.258848947
telephony,261.3705,30530.67774,116.809949,256.9305,33346.70957,129.7888322,-0.1,4.4400024,-2816.031824,0.017280947,-0.1,-0.172809474
toys,235.05144,21962.91752,93.43877366,218.77393,22713.29724,103.8208596,-0.1,16.277512,-750.3797146,0.074403346,-0.1,-0.744033456
unknown,61.896217,6891.739699,111.3434679,60.126976,7438.606926,123.7149643,-0.1,1.7692413,-546.8672271,0.029425085,-0.1,-0.294250846
watches_gifts,463.49118,70283.16435,151.6386192,477.12796,80390.0285,168.4873547,-0.1,-13.63678,-10106.86415,-0.02858097,-0.1,0.285809692
agro_industry_and_commerce,33.43147,6046.890147,180.8741944,40.933495,7793.487444,190.3938889,-0.05,-7.5020256,-1746.597296,-0.18327352,-0.05,3.665470481
air_conditioning,39.14294,6970.833142,178.0866042,31.453566,5896.272167,187.4595833,-0.05,7.689375,1074.560975,0.24446751,-0.05,-4.889350235
